koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
112295,Andreas,Stjernen,8,665,1,257,NOR,2018,M
111251,Dawid,Kubacki,9,633,16,54,POL,2018,M
117441,Markus,Eisenbichler,10,597,10,102,GER,2018,M
126003,Junshiro,Kobayashi,11,568,14,70,JPN,2018,M
140329,Anders,Fannemel,12,500,12,97,NOR,2018,M
73229,Stefan,Hula,13,431,15,62,POL,2018,M
128621,Karl,Geiger,14,427,24,36,GER,2018,M
131309,Peter,Prevc,15,416,8,106,SLO,2018,M
73232,Piotr,Zyla,16,403,22,40,POL,2018,M
12274,Jernej,Damjan,17,379,33,17,SLO,2018,M
117450,Stephan,Leyhe,18,327,23,39,GER,2018,M
973,Simon,Ammann,19,312,11,100,SUI,2018,M
180709,Halvor Egner,Granerud,20,280,20,44,NOR,2018,M
118113,Maciej,Kot,21,261,31,20,POL,2018,M
130646,Anze,Semenic,22,256,18,47,SLO,2018,M
117835,Michael,Hayboeck,23,245,25,35,AUT,2018,M
155620,Ryoyu,Kobayashi,24,187,17,48,JPN,2018,M
171479,Tilen,Bartol,25,185,19,46,SLO,2018,M
29533,Noriaki,Kasai,26,164,9,104,JPN,2018,M
17013,Manuel,Fettner,27,137,48,2,AUT,2018,M
139429,Daniel,Huber,28,117,36,12,AUT,2018,M
128447,Clemens,Aigner,29,104,21,41,AUT,2018,M
99976,Pius,Paschke,30,90,36,12,GER,2018,M
73277,Taku,Takeuchi,31,89,39,11,JPN,2018,M
188590,Timi,Zajc,32,88,,0,SLO,2018,M
186516,Domen,Prevc,33,81,13,74,SLO,2018,M
189105,Constantin,Schmid,33,81,,0,GER,2018,M
106378,Gregor,Schlierenzauer,35,77,46,4,AUT,2018,M
149455,Jakub,Wolny,36,73,43,6,POL,2018,M
106377,Manuel,Poppinger,37,66,36,12,AUT,2018,M
124118,Gregor,Deschwanden,38,54,,0,SUI,2018,M
173399,Kevin,Bickner,39,50,28,23,USA,2018,M
131935,Nejc,Dezman,39,50,47,3,SLO,2018,M
174872,Marius,Lindvik,41,49,,0,NOR,2018,M
90236,Denis,Kornilov,42,46,30,21,RUS,2018,M
72592,Andreas,Wank,43,45,41,8,GER,2018,M
164624,Ziga,Jelar,44,43,42,7,SLO,2018,M
149215,Yukiya,Sato,45,41,39,11,JPN,2018,M
147015,Philipp,Aschenwald,46,34,,0,AUT,2018,M
78803,Mackenzie,Boyd-clowes,47,31,,0,CAN,2018,M
108867,Cestmir,Kozisek,48,30,31,20,CZE,2018,M
32297,Robert,Kranjec,49,26,27,26,SLO,2018,M
75837,Jurij,Tepes,50,22,29,22,SLO,2018,M
128402,Florian,Altenburger,51,20,,0,AUT,2018,M
111930,Vladimir,Zografski,52,15,44,5,BUL,2018,M
106257,Tomaz,Naglic,53,14,34,14,SLO,2018,M
182547,Antti,Aalto,54,13,,0,FIN,2018,M
179422,Bor,Pavlovcic,54,13,35,13,SLO,2018,M
153777,Killian,Peier,54,13,,0,SUI,2018,M
104161,Roman,Koudelka,57,12,,0,CZE,2018,M
167385,William,Rhoads,57,12,,0,USA,2018,M
175089,Alex,Insam,59,11,44,5,ITA,2018,M
166437,David,Siegel,59,11,,0,GER,2018,M
204489,Sondre,Ringen,61,9,,0,NOR,2018,M
128448,Ulrich,Wohlgenannt,61,9,,0,AUT,2018,M
73166,Daiki,Ito,63,8,,0,JPN,2018,M
182059,Jonathan,Learoyd,63,8,,0,FRA,2018,M
172117,Evgenii,Klimov,65,7,,0,RUS,2018,M
196315,Eetu,Nousiainen,66,6,,0,FIN,2018,M
13322,SEVOIE Vincent,Descombes,67,4,,0,FRA,2018,M
161594,Vojtech,Stursa,68,3,,0,CZE,2018,M
174348,Clemens,Leitner,69,2,,0,AUT,2018,M
160506,Naoki,Nakamura,69,2,,0,JPN,2018,M
143981,Andreas,Schuler,69,2,,0,SUI,2018,M
63739,Dmitriy,Vassiliev,69,2,,0,RUS,2018,M
71839,Sebastian,Colloredo,73,1,,0,ITA,2018,M
196003,Tomasz,Pilch,73,1,,0,POL,2018,M
180887,Andreas,Alamommo,,0,,0,FIN,2018,M
167417,Joakim,Aune,,0,,0,NOR,2018,M
192465,Joacim Oedegaard,Bjoereng,,0,,0,NOR,2018,M
102371,Davide,Bresadola,,0,,0,ITA,2018,M
165938,Andreas Granerud,Buskum,,0,,0,NOR,2018,M
81301,Roberto,Dellasega,,0,,0,ITA,2018,M
151265,Ayberk,Demir,,0,,0,TUR,2018,M
102483,Michael,Glasder,,0,,0,USA,2018,M
182595,Sandro,Hauswirth,,0,,0,SUI,2018,M
108891,Tom,Hilde,,0,,0,NOR,2018,M
151263,Fatih Arda,Ipcioglu,,0,,0,TUR,2018,M
94124,Alexey,Korolev,,0,,0,KAZ,2018,M
128446,Thomas,Lackner,,0,,0,AUT,2018,M
162711,Anze,Lanisek,,0,,0,SLO,2018,M
136813,Jarkko,Maatta,,0,,0,FIN,2018,M
136242,Sabirzhan,Muminov,,0,,0,KAZ,2018,M
144610,Mikhail,Nazarov,,0,,0,RUS,2018,M
154093,Martti,Nomme,,0,,0,EST,2018,M
185562,Robin,Pedersen,,0,,0,NOR,2018,M
171539,DUPLAND Thomas,Roch,,0,,0,FRA,2018,M
132745,Alexey,Romashov,,0,,0,RUS,2018,M
128456,Kento,Sakuyama,,0,,0,JPN,2018,M
128788,Markus,Schiffner,,0,,0,AUT,2018,M
165235,Konstantin,Sokolenko,,0,,0,KAZ,2018,M
156838,Elias,Tollinger,,0,,0,AUT,2018,M
75176,Marat,Zhaparov,,0,,0,KAZ,2018,M
155620,Ryoyu,Kobayashi,1,2085,1,407,JPN,2019,M
128286,Stefan,Kraft,2,1349,8,228,AUT,2019,M
73228,Kamil,Stoch,3,1288,7,244,POL,2019,M
73232,Piotr,Zyla,4,1131,3,289,POL,2019,M
111251,Dawid,Kubacki,5,988,5,251,POL,2019,M
128806,Robert,Johansson,6,974,12,136,NOR,2019,M
117441,Markus,Eisenbichler,7,937,2,371,GER,2019,M
147549,Johann Andre,Forfang,8,892,9,200,NOR,2019,M
188590,Timi,Zajc,9,833,6,250,SLO,2019,M
128621,Karl,Geiger,10,765,13,103,GER,2019,M
117450,Stephan,Leyhe,11,636,29,38,GER,2019,M
172117,Evgenii,Klimov,12,592,10,158,RUS,2019,M
186516,Domen,Prevc,13,542,4,271,SLO,2019,M
104161,Roman,Koudelka,14,523,28,40,CZE,2019,M
180709,Halvor Egner,Granerud,15,422,24,54,NOR,2019,M
139429,Daniel,Huber,16,413,19,76,AUT,2019,M
153777,Killian,Peier,17,399,37,9,SUI,2019,M
174244,Andreas,Wellinger,18,371,22,60,GER,2019,M
126003,Junshiro,Kobayashi,19,335,23,57,JPN,2019,M
112295,Andreas,Stjernen,19,335,27,43,NOR,2019,M
128618,Richard,Freitag,21,331,21,63,GER,2019,M
149455,Jakub,Wolny,22,328,11,155,POL,2019,M
149215,Yukiya,Sato,23,316,17,79,JPN,2019,M
973,Simon,Ammann,24,313,13,103,SUI,2019,M
182547,Antti,Aalto,25,288,30,30,FIN,2019,M
147015,Philipp,Aschenwald,26,247,20,69,AUT,2019,M
117835,Michael,Hayboeck,27,228,17,79,AUT,2019,M
130646,Anze,Semenic,28,203,15,99,SLO,2019,M
131309,Peter,Prevc,29,179,25,53,SLO,2019,M
162711,Anze,Lanisek,30,177,37,9,SLO,2019,M
17013,Manuel,Fettner,31,166,51,1,AUT,2019,M
73166,Daiki,Ito,32,145,31,29,JPN,2019,M
111930,Vladimir,Zografski,33,134,44,4,BUL,2019,M
166437,David,Siegel,34,131,,0,GER,2019,M
147547,Daniel Andre,Tande,35,106,16,89,NOR,2019,M
140329,Anders,Fannemel,36,103,35,10,NOR,2019,M
29533,Noriaki,Kasai,37,88,26,48,JPN,2019,M
189105,Constantin,Schmid,38,86,32,19,GER,2019,M
160506,Naoki,Nakamura,39,72,42,5,JPN,2019,M
73229,Stefan,Hula,40,69,,0,POL,2019,M
185562,Robin,Pedersen,41,58,34,11,NOR,2019,M
174572,Viktor,Polasek,42,54,,0,CZE,2019,M
197640,Jan,Hoerl,43,53,,0,AUT,2019,M
174872,Marius,Lindvik,44,49,39,8,NOR,2019,M
128447,Clemens,Aigner,45,46,33,14,AUT,2019,M
12274,Jernej,Damjan,46,40,,0,SLO,2019,M
118113,Maciej,Kot,47,25,,0,POL,2019,M
106378,Gregor,Schlierenzauer,48,23,,0,AUT,2019,M
166435,Martin,Hamann,49,19,46,3,GER,2019,M
63739,Dmitriy,Vassiliev,49,19,42,5,RUS,2019,M
173399,Kevin,Bickner,51,18,,0,USA,2019,M
78803,Mackenzie,Boyd-clowes,51,18,40,7,CAN,2019,M
201766,Zak,Mogel,51,18,,0,SLO,2019,M
25074,Lukas,Hlava,54,17,,0,CZE,2019,M
